ticket_id,title,description,type,priority,status,estimate_points,sprint,component,owner_role,depends_on,acceptance_criteria
EPIC-PLAT-1,Platform Foundation,"Base backend setup, CI, shared middleware, and observability baseline.",Epic,P0,Todo,13,Sprint 1,Platform,Backend Lead,,"CI passes; request IDs in logs; service health endpoint available"
EPIC-AST-1,Assistant Core Flow,"Interpret + confirm flow for safe assistant actions.",Epic,P0,Todo,13,Sprint 1,Assistant,Backend Lead,,"Interpret and confirm endpoints function with deterministic response schema"
EPIC-TASK-1,Task Management Core,"Task create/read/update/delete with reminders and audit.",Epic,P0,Todo,21,Sprint 1-2,Tasks,Backend Lead,,"Task lifecycle APIs pass acceptance tests; reminders and audits are present"
EPIC-CAL-1,Calendar Provider 1,"Provider 1 OAuth and event mutation flow.",Epic,P0,Todo,21,Sprint 2,Calendar,Backend Lead,,"Provider 1 connect + event CRUD stable in staging"
EPIC-OPS-1,Ops and Release Readiness,"SLOs, alerts, runbooks, release checks.",Epic,P0,Todo,13,Sprint 3,Operations,SRE Lead,,"Alerting and runbook validated; release checklist complete"
TKT-001,Initialize backend repo and CI pipeline,"Create service repo/module layout, lint/test pipeline, and build job.",Task,P0,Todo,3,Sprint 1,Platform,Backend Engineer,,"Main branch build green; lint/test jobs configured"
TKT-002,Implement auth middleware,"Add bearer token validation and user context propagation.",Task,P0,Todo,3,Sprint 1,Security,Backend Engineer,TKT-001,"Unauthorized requests rejected; user ID available in handlers"
TKT-003,Add request correlation IDs and structured logging,"Inject request ID in middleware and include in all logs.",Task,P0,Todo,2,Sprint 1,Platform,Backend Engineer,TKT-001,"All API logs include request_id and endpoint"
TKT-004,Create Task and ActionAudit DB migrations,"Add initial Task and ActionAudit tables with required indexes.",Task,P0,Todo,3,Sprint 1,Data,Backend Engineer,TKT-001,"Migrations run cleanly; indexes present for key query paths"
TKT-005,Build POST /v1/assistant/interpret,"Implement minimal intent parse and entity extraction response contract.",Story,P0,Todo,5,Sprint 1,Assistant,Backend Engineer,TKT-002,"Endpoint returns intent/entities/confirmation requirement"
TKT-006,Build POST /v1/assistant/confirm,"Implement confirmation decision endpoint and execution trigger.",Story,P0,Todo,3,Sprint 1,Assistant,Backend Engineer,TKT-005,"Confirm executes action; cancel performs no mutation"
TKT-007,Build POST /v1/tasks with idempotency,"Create task endpoint with idempotency key support.",Story,P0,Todo,5,Sprint 1,Tasks,Backend Engineer,TKT-004,"Duplicate idempotency key does not create duplicate task"
TKT-008,Write ActionAudit hook for task create,"Persist success/failure audit for confirmed task actions.",Task,P0,Todo,3,Sprint 1,Audit,Backend Engineer,TKT-007,"Audit row created on success and failure paths"
TKT-009,Reminder queue producer for task create,"Publish reminder job event after task creation.",Task,P1,Todo,2,Sprint 1,Notifications,Backend Engineer,TKT-007,"Reminder job enqueued with due/reminder timestamps"
TKT-010,Mobile shell: voice/text capture + confirm UI,"Implement basic mobile capture and confirmation interaction.",Story,P0,Todo,5,Sprint 1,Mobile,Mobile Engineer,TKT-005,"User can submit utterance and confirm/cancel action"
TKT-011,Build GET /v1/tasks list endpoint,"Return tasks with filters (status, due range, pagination).",Story,P0,Todo,3,Sprint 2,Tasks,Backend Engineer,TKT-007,"Filtered task list returned with stable pagination"
TKT-012,Build PATCH /v1/tasks/{id},"Update task fields: title/status/priority/due/reminder/tags.",Story,P0,Todo,3,Sprint 2,Tasks,Backend Engineer,TKT-011,"Allowed fields update correctly and are audited"
TKT-013,Build DELETE /v1/tasks/{id},"Soft-delete or cancel task with audit trail.",Story,P0,Todo,2,Sprint 2,Tasks,Backend Engineer,TKT-011,"Task removed from active list and audit event recorded"
TKT-014,Implement provider 1 OAuth connect flow,"Start/callback/disconnect flow for calendar provider 1.",Story,P0,Todo,5,Sprint 2,Calendar,Backend Engineer,TKT-002,"User can connect and disconnect provider successfully"
TKT-015,Build POST /v1/events for provider 1,"Create calendar event with confirmation path.",Story,P0,Todo,5,Sprint 2,Calendar,Backend Engineer,TKT-014,"Event created in provider and stored locally"
TKT-016,Build PATCH /v1/events/{id} for provider 1,"Update/move calendar event with concurrency checks.",Story,P0,Todo,3,Sprint 2,Calendar,Backend Engineer,TKT-015,"Event updates succeed; conflict errors handled"
TKT-017,Build DELETE /v1/events/{id} for provider 1,"Cancel/delete event mapping to provider behavior.",Story,P0,Todo,2,Sprint 2,Calendar,Backend Engineer,TKT-015,"Event cancellation reflected locally and remotely"
TKT-018,Queue worker retry/backoff and dead-letter baseline,"Add retry policy and dead-letter queue behavior for provider operations.",Task,P0,Todo,5,Sprint 2,Operations,SRE Engineer,TKT-015,"Transient errors retry with backoff; permanent failures dead-letter"
TKT-019,Reminder worker delivery status tracking,"Execute reminder jobs and track delivered/failed state.",Task,P1,Todo,3,Sprint 2,Notifications,Backend Engineer,TKT-009,"Reminder status persisted for monitoring"
TKT-020,Build GET /v1/planning/day,"Return daily plan combining tasks + events.",Story,P1,Todo,5,Sprint 3,Planning,Backend Engineer,TKT-011;TKT-015,"Daily plan ordered by time/priority with clear summary"
TKT-021,Build GET /v1/history/actions,"Return action history timeline with filters.",Story,P0,Todo,3,Sprint 3,Audit,Backend Engineer,TKT-008,"History endpoint returns assistant/user action timeline"
TKT-022,Integrate token vault and secret handling,"Move provider tokens to vault and enforce access policies.",Task,P0,Todo,5,Sprint 3,Security,Backend Engineer,TKT-014,"No provider token stored plaintext in app DB"
TKT-023,Implement log redaction and retention settings,"Apply redaction rules and retention policy configs.",Task,P0,Todo,3,Sprint 3,Security,Backend Engineer,TKT-003,"Sensitive fields redacted; retention config active"
TKT-024,SLO dashboards and alert rules,"Create latency/error/success/queue-depth dashboards and alert thresholds.",Task,P0,Todo,5,Sprint 3,Operations,SRE Engineer,TKT-018,"Dashboards live; alerts fire correctly in test"
TKT-025,On-call runbook and incident response checklist,"Document top failure scenarios and mitigation steps.",Task,P0,Todo,3,Sprint 3,Operations,SRE Engineer,TKT-024,"Runbook reviewed and used in tabletop exercise"
TKT-026,End-to-end staging test and go/no-go review,"Execute P0 acceptance tests and release decision meeting.",Task,P0,Todo,5,Sprint 3,Release,Tech Lead,TKT-021;TKT-022;TKT-024,"P0 tests pass; no open critical defects; release decision logged"
