Project Key,Summary,Issue Type,Description,Priority,Labels,Story Points,Epic Name,Epic Link,Sprint,Components,Original Ticket ID,Depends On,Acceptance Criteria,Source Doc
AAA,Platform Foundation,Epic,"Base backend setup, CI, shared middleware, and observability baseline.",Highest,"ai-assistant,stage-3-build",13,Platform Foundation,,,Platform,EPIC-PLAT-1,,CI passes; request IDs in logs; service health endpoint available,docs/stage-2-execution-design/vertical-slice-spec-task-create.md
AAA,Assistant Core Flow,Epic,Interpret + confirm flow for safe assistant actions.,Highest,"ai-assistant,stage-3-build",13,Assistant Core Flow,,,Assistant,EPIC-AST-1,,Interpret and confirm endpoints function with deterministic response schema,docs/stage-2-execution-design/vertical-slice-spec-task-create.md
AAA,Task Management Core,Epic,Task create/read/update/delete with reminders and audit.,Highest,"ai-assistant,stage-3-build",21,Task Management Core,,,Tasks,EPIC-TASK-1,,Task lifecycle APIs pass acceptance tests; reminders and audits are present,docs/stage-2-execution-design/implementation-plan-sprint-1-3.md
AAA,Calendar Provider 1,Epic,Provider 1 OAuth and event mutation flow.,Highest,"ai-assistant,stage-3-build",21,Calendar Provider 1,,,Calendar,EPIC-CAL-1,,Provider 1 connect + event CRUD stable in staging,docs/stage-2-execution-design/implementation-plan-sprint-1-3.md
AAA,Ops and Release Readiness,Epic,"SLOs, alerts, runbooks, release checks.",Highest,"ai-assistant,stage-3-build",13,Ops and Release Readiness,,,Operations,EPIC-OPS-1,,Alerting and runbook validated; release checklist complete,docs/stage-2-execution-design/dod-and-quality-gates.md
AAA,Initialize backend repo and CI pipeline,Task,"Create service repo/module layout, lint/test pipeline, and build job.",Highest,"ai-assistant,stage-3-build",3,,Platform Foundation,,Platform,TKT-001,,Main branch build green; lint/test jobs configured,docs/stage-2-execution-design/vertical-slice-spec-task-create.md
AAA,Implement auth middleware,Task,Add bearer token validation and user context propagation.,Highest,"ai-assistant,stage-3-build",3,,Ops and Release Readiness,,Security,TKT-002,TKT-001,Unauthorized requests rejected; user ID available in handlers,docs/stage-2-execution-design/vertical-slice-spec-task-create.md
AAA,Add request correlation IDs and structured logging,Task,Inject request ID in middleware and include in all logs.,Highest,"ai-assistant,stage-3-build",2,,Platform Foundation,,Platform,TKT-003,TKT-001,All API logs include request_id and endpoint,docs/stage-2-execution-design/vertical-slice-spec-task-create.md
AAA,Create Task and ActionAudit DB migrations,Task,Add initial Task and ActionAudit tables with required indexes.,Highest,"ai-assistant,stage-3-build",3,,Task Management Core,,Data,TKT-004,TKT-001,Migrations run cleanly; indexes present for key query paths,docs/stage-2-execution-design/vertical-slice-spec-task-create.md
AAA,Build POST /v1/assistant/interpret,Story,Implement minimal intent parse and entity extraction response contract.,Highest,"ai-assistant,stage-3-build",5,,Assistant Core Flow,,Assistant,TKT-005,TKT-002,Endpoint returns intent/entities/confirmation requirement,docs/stage-2-execution-design/vertical-slice-spec-task-create.md
AAA,Build POST /v1/assistant/confirm,Story,Implement confirmation decision endpoint and execution trigger.,Highest,"ai-assistant,stage-3-build",3,,Assistant Core Flow,,Assistant,TKT-006,TKT-005,Confirm executes action; cancel performs no mutation,docs/stage-2-execution-design/vertical-slice-spec-task-create.md
AAA,Build POST /v1/tasks with idempotency,Story,Create task endpoint with idempotency key support.,Highest,"ai-assistant,stage-3-build",5,,Task Management Core,,Tasks,TKT-007,TKT-004,Duplicate idempotency key does not create duplicate task,docs/stage-2-execution-design/vertical-slice-spec-task-create.md
AAA,Write ActionAudit hook for task create,Task,Persist success/failure audit for confirmed task actions.,Highest,"ai-assistant,stage-3-build",3,,Task Management Core,,Audit,TKT-008,TKT-007,Audit row created on success and failure paths,docs/stage-2-execution-design/vertical-slice-spec-task-create.md
AAA,Reminder queue producer for task create,Task,Publish reminder job event after task creation.,High,"ai-assistant,stage-3-build",2,,Task Management Core,,Notifications,TKT-009,TKT-007,Reminder job enqueued with due/reminder timestamps,docs/stage-2-execution-design/vertical-slice-spec-task-create.md
AAA,Mobile shell: voice/text capture + confirm UI,Story,Implement basic mobile capture and confirmation interaction.,Highest,"ai-assistant,stage-3-build",5,,Assistant Core Flow,,Mobile,TKT-010,TKT-005,User can submit utterance and confirm/cancel action,docs/stage-2-execution-design/vertical-slice-spec-task-create.md
AAA,Build GET /v1/tasks list endpoint,Story,"Return tasks with filters (status, due range, pagination).",Highest,"ai-assistant,stage-3-build",3,,Task Management Core,,Tasks,TKT-011,TKT-007,Filtered task list returned with stable pagination,docs/stage-2-execution-design/implementation-plan-sprint-1-3.md
AAA,Build PATCH /v1/tasks/{id},Story,Update task fields: title/status/priority/due/reminder/tags.,Highest,"ai-assistant,stage-3-build",3,,Task Management Core,,Tasks,TKT-012,TKT-011,Allowed fields update correctly and are audited,docs/stage-2-execution-design/implementation-plan-sprint-1-3.md
AAA,Build DELETE /v1/tasks/{id},Story,Soft-delete or cancel task with audit trail.,Highest,"ai-assistant,stage-3-build",2,,Task Management Core,,Tasks,TKT-013,TKT-011,Task removed from active list and audit event recorded,docs/stage-2-execution-design/implementation-plan-sprint-1-3.md
AAA,Implement provider 1 OAuth connect flow,Story,Start/callback/disconnect flow for calendar provider 1.,Highest,"ai-assistant,stage-3-build",5,,Calendar Provider 1,,Calendar,TKT-014,TKT-002,User can connect and disconnect provider successfully,docs/stage-2-execution-design/implementation-plan-sprint-1-3.md
AAA,Build POST /v1/events for provider 1,Story,Create calendar event with confirmation path.,Highest,"ai-assistant,stage-3-build",5,,Calendar Provider 1,,Calendar,TKT-015,TKT-014,Event created in provider and stored locally,docs/stage-2-execution-design/implementation-plan-sprint-1-3.md
AAA,Build PATCH /v1/events/{id} for provider 1,Story,Update/move calendar event with concurrency checks.,Highest,"ai-assistant,stage-3-build",3,,Calendar Provider 1,,Calendar,TKT-016,TKT-015,Event updates succeed; conflict errors handled,docs/stage-2-execution-design/implementation-plan-sprint-1-3.md
AAA,Build DELETE /v1/events/{id} for provider 1,Story,Cancel/delete event mapping to provider behavior.,Highest,"ai-assistant,stage-3-build",2,,Calendar Provider 1,,Calendar,TKT-017,TKT-015,Event cancellation reflected locally and remotely,docs/stage-2-execution-design/implementation-plan-sprint-1-3.md
AAA,Queue worker retry/backoff and dead-letter baseline,Task,Add retry policy and dead-letter queue behavior for provider operations.,Highest,"ai-assistant,stage-3-build",5,,Ops and Release Readiness,,Operations,TKT-018,TKT-015,Transient errors retry with backoff; permanent failures dead-letter,docs/stage-2-execution-design/implementation-plan-sprint-1-3.md
AAA,Reminder worker delivery status tracking,Task,Execute reminder jobs and track delivered/failed state.,High,"ai-assistant,stage-3-build",3,,Task Management Core,,Notifications,TKT-019,TKT-009,Reminder status persisted for monitoring,docs/stage-2-execution-design/implementation-plan-sprint-1-3.md
AAA,Build GET /v1/planning/day,Story,Return daily plan combining tasks + events.,High,"ai-assistant,stage-3-build",5,,Task Management Core,,Planning,TKT-020,TKT-011;TKT-015,Daily plan ordered by time/priority with clear summary,docs/stage-2-execution-design/dod-and-quality-gates.md
AAA,Build GET /v1/history/actions,Story,Return action history timeline with filters.,Highest,"ai-assistant,stage-3-build",3,,Task Management Core,,Audit,TKT-021,TKT-008,History endpoint returns assistant/user action timeline,docs/stage-2-execution-design/dod-and-quality-gates.md
AAA,Integrate token vault and secret handling,Task,Move provider tokens to vault and enforce access policies.,Highest,"ai-assistant,stage-3-build",5,,Ops and Release Readiness,,Security,TKT-022,TKT-014,No provider token stored plaintext in app DB,docs/stage-2-execution-design/dod-and-quality-gates.md
AAA,Implement log redaction and retention settings,Task,Apply redaction rules and retention policy configs.,Highest,"ai-assistant,stage-3-build",3,,Ops and Release Readiness,,Security,TKT-023,TKT-003,Sensitive fields redacted; retention config active,docs/stage-2-execution-design/dod-and-quality-gates.md
AAA,SLO dashboards and alert rules,Task,Create latency/error/success/queue-depth dashboards and alert thresholds.,Highest,"ai-assistant,stage-3-build",5,,Ops and Release Readiness,,Operations,TKT-024,TKT-018,Dashboards live; alerts fire correctly in test,docs/stage-2-execution-design/dod-and-quality-gates.md
AAA,On-call runbook and incident response checklist,Task,Document top failure scenarios and mitigation steps.,Highest,"ai-assistant,stage-3-build",3,,Ops and Release Readiness,,Operations,TKT-025,TKT-024,Runbook reviewed and used in tabletop exercise,docs/stage-2-execution-design/dod-and-quality-gates.md
AAA,End-to-end staging test and go/no-go review,Task,Execute P0 acceptance tests and release decision meeting.,Highest,"ai-assistant,stage-3-build",5,,Ops and Release Readiness,,Release,TKT-026,TKT-021;TKT-022;TKT-024,P0 tests pass; no open critical defects; release decision logged,docs/stage-2-execution-design/dod-and-quality-gates.md
